year,state,district,candidate,candidate_normalized,party,votes,money_raised
,Florida,1,Jennifer Zimmerman,zimmerman,Democratic,106199,54452
,Florida,2,Neal Dunn,dunn,Republician,199335,1293720
,Florida,2,Bob Rackleff,rackleff,Democratic,96233,230032
,Florida,3,Ted Yoho,yoho,Republician,176616,800406
,Florida,3,Yvonne Hayes Hinson,hayeshinson,Democratic,129880,43089
,Florida,4,John Rutherford,rutherford,Republician,248420,792554
,Florida,4,Ges Selmont,selmont,Democratic,123251,76672
,Florida,4,Joceline Berrios,berrios,Independent,,11140
,Florida,4,Jason Bulger,bulger,Independent,,8962
,Florida,4,Daniel Murphy,murphy,Independent,,0
,Florida,4,Gary Koniz,koniz,Independent,,0
,Florida,5,Al Lawson,lawson,Democratic,180527,580420
,Florida,5,Virginia Fuller,fuller,Republician,89799,38822
,Florida,6,Nacy Soderberg,soderberg,Democratic,145758,2826532
,Florida,6,Michael Waltz,waltz,Republician,187891,1702312
,Florida,7,Stephanie Murphy,murphy,Democratic,183113,3017120
,Florida,7,Mike Miller,miller,Republician,134285,980204
,Florida,8,Bill Posey,posey,Republician,218112,875910
,Florida,8,Sanjay Patel,patel,Democratic,142415,319434
,Florida,9,Darren Soto,soto,Democratic,172172,1409422
,Florida,9,Wayne Liebnitzky,liebnitzky,Republician,124565,57266
,Florida,10,Val Demings,demings,Democratic,,779334
,Florida,11,Daniel Webster,webster,Republician,239395,567873
,Florida,11,Dana Cottrell,cottrell,Democratic,128053,81315
,Florida,12,Gus Billrakis,billrakis,Republician,194564,1850840
,Florida,12,Chris Hunter,hunter,Democratic,132844,715669
,Florida,12,Angelika Purkis,purkis,Independent,,18514
,Florida,13,Charlie Crist,crist,Democratic,182717,3180303
,Florida,13,George Buck,buck,Republician,134254,29323
,Florida,14,Kathy Castor,castor,Democratic,,717143
,Florida,15,Kristen Carlson,carlson,Democratic,134132,1297512
,Florida,15,Ross Spano,spano,Republician,151380,581690
,Florida,15,Jeffrey G Rabinowitz,rabinowitz,Independent,,876
,Florida,15,Dave Johnson,johnson,Third,,0
,Florida,16,Vernon Buchanan,buchanan,Republician,197483,2706870
,Florida,16,David Shapiro,shapiro,Democratic,164463,2330147
,Florida,17,Greg Steube,steube,Republician,193326,767125
,Florida,17,Freeman,freeman,Democratic,117194,
